"Promotion ID","Advertiser","Advertiser ID","Type","Code","Description","Starts","Ends","Categories","Regions","Terms","Deeplink Tracking","Deeplink","Commission Groups","Commission","Exclusive","Date Added","Title","Campaign"
"4121409","Kabum BR","17729","promotion","","Headset Jabra Evolve 20 Duo Ms Stereo Black - 4999-823-109 ","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F507668","https://www.kabum.com.br/produto/507668","","","no","22/09/2026 16:35:48","Headset Jabra Evolve 20 Duo Ms Stereo Black - 4999-823-109 ",""
"4121408","Kabum BR","17729","promotion","","Smart Tv 55"", Aoc, 4k Uhd, Roku, Hdr10, Wi-Fi - 55u7045/78g","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F903659","https://www.kabum.com.br/produto/903659","","","no","22/09/2026 16:35:38","Smart Tv 55"", Aoc, 4k Uhd, Roku, Hdr10, Wi-Fi - 55u7045/78g",""
"4121407","Kabum BR","17729","promotion","","Caixa De Som Jbl Boombox 3, 180w Rms, Bluetooth, Preto, Bivolt - 58035031","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F512337","https://www.kabum.com.br/produto/512337","","","no","22/09/2026 16:35:29","Caixa De Som Jbl Boombox 3, 180w Rms, Bluetooth, Preto, Bivolt - 58035031",""
"4121406","Kabum BR","17729","promotion","","Ssd Rise Mode Gamer Line, 120gb, Leitura: 530mb/S, Gravação: 520mb/S, Sata Iii, Preto - Rm-Ssd-120","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F173656","https://www.kabum.com.br/produto/173656","","","no","22/09/2026 16:35:21","Ssd Rise Mode Gamer Line, 120gb, Leitura: 530mb/S, Gravação: 520mb/S, Sata Iii, Preto - Rm-Ssd-120",""
"4121404","Kabum BR","17729","promotion","","Ssd 256gb M.2 Nvme Pcie 3.0 2000mbs Leit 1100mbs Grav Sgm256ss2k Sgmax","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F922183","https://www.kabum.com.br/produto/922183","","","no","22/09/2026 16:35:13","Ssd 256gb M.2 Nvme Pcie 3.0 2000mbs Leit 1100mbs Grav Sgm256ss2k Sgmax",""
"4121403","Kabum BR","17729","promotion","","Smartwatch Amazfit Bip 6 Amoled 1,97 Gps Bluetooth Calls, Resistente À Água 5 Atm Bateria Longa Duração","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F753178","https://www.kabum.com.br/produto/753178","","","no","22/09/2026 16:35:02","Smartwatch Amazfit Bip 6 Amoled 1,97 Gps Bluetooth Calls, Resistente À Água 5 Atm Bateria Longa Duração",""
"4121402","Kabum BR","17729","promotion","","Cabo De Força Energia Para Fonte Atx Tripolar 1.5m 3x0.5 Novo Padrão - Bivolt","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F887143","https://www.kabum.com.br/produto/887143","","","no","22/09/2026 16:34:51","Cabo De Força Energia Para Fonte Atx Tripolar 1.5m 3x0.5 Novo Padrão - Bivolt",""
"4121401","Kabum BR","17729","promotion","","Placa-Mãe Asus B760m-Ayw Wifi D4 Ii, Intel Lga 1700, Matx, Ddr4, Wi-Fi 6, Preto - 90mb1mg0-M0eay0","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F1012394","https://www.kabum.com.br/produto/1012394","","","no","22/09/2026 16:34:40","Placa-Mãe Asus B760m-Ayw Wifi D4 Ii, Intel Lga 1700, Matx, Ddr4, Wi-Fi 6, Preto - 90mb1mg0-M0eay0",""
"4121400","Kabum BR","17729","promotion","","Conversor Digital Hdtv Proeletronic, C/ Gravador, Entrada Usb, Função Multimídia P/ Filme E Música - Prodt-1270","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F456987","https://www.kabum.com.br/produto/456987","","","no","22/09/2026 16:34:31","Conversor Digital Hdtv Proeletronic, C/ Gravador, Entrada Usb, Função Multimídia P/ Filme E Música - Prodt-1270",""
"4121399","Kabum BR","17729","promotion","","Kit De Pilhas Alcalina Aaa + Aa 10 Unidades De Cada Lr036p20bp/59","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F283918","https://www.kabum.com.br/produto/283918","","","no","22/09/2026 16:34:22","Kit De Pilhas Alcalina Aaa + Aa 10 Unidades De Cada Lr036p20bp/59",""
"4121398","Kabum BR","17729","promotion","","Bateria Unipower Para Nobreak, Up1250-06c013, F187, 12v, 5.0ah.","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F203327","https://www.kabum.com.br/produto/203327","","","no","22/09/2026 16:34:12","Bateria Unipower Para Nobreak, Up1250-06c013, F187, 12v, 5.0ah.",""
